X1	X2	X3	X4	X5	X6	X7	X8	Y1	Y2	
0.529412	0.67	0.606557	0.33	0.070922	0.385991	0.163108	1.0	-1.00	1.00	
0.0588235	0.575	0.57377	0.3	0.113475	0.515648	0.19257	0.183333	-1.00	1.00	
0.235294	0.67	0.590164	0.0	0.0	0.354694	0.0849701	0.65	-1.00	1.00	
0.117647	0.64	0.639344	0.37	0.21513	0.645306	0.489325	0.166667	1.00	-1.00	
0.529412	0.36	0.639344	0.25	0.0	0.470939	0.0862511	0.283333	-1.00	1.00	
0.0588235	0.555	0.704918	0.19	0.0	0.448584	0.0277541	0.0333333	-1.00	1.00	
0.235294	0.485	0.491803	0.23	0.0	0.420268	0.15585	0.0166667	-1.00	1.00	
0.176471	0.4	0.0	0.0	0.0	0.0	0.0409906	0.0166667	-1.00	1.00	
0.235294	0.685	0.688525	0.0	0.0	0.464978	0.0742955	0.15	-1.00	1.00	
0.352941	0.0	0.557377	0.41	0.0	0.581222	0.277114	0.333333	-1.00	1.00	
0.294118	0.735	0.639344	0.0	0.0	0.502235	0.059778	0.733333	-1.00	1.00	
0.0	0.43	0.557377	0.32	0.0	0.533532	0.0683177	0.0666667	-1.00	1.00	
0.117647	0.46	0.42623	0.0	0.0	0.448584	0.0269001	0.0166667	-1.00	1.00	
0.0588235	0.5	0.540984	0.29	0.231678	0.4769	0.156277	0.35	-1.00	1.00	
0.0588235	0.64	0.672131	0.17	0.216312	0.409836	0.0157985	0.0166667	-1.00	1.00	
0.0588235	0.505	0.409836	0.15	0.0425532	0.360656	0.191289	0.0833333	-1.00	1.00	
0.352941	0.625	0.639344	0.31	0.0	0.411326	0.207942	0.466667	1.00	-1.00	
0.470588	0.425	0.45082	0.2	0.0	0.363636	0.0247652	0.35	-1.00	1.00	
0.470588	0.665	0.590164	0.0	0.0	0.490313	0.0819812	0.3	1.00	-1.00	
0.0	0.535	0.491803	0.25	0.0	0.393443	0.0234842	0.0333333	-1.00	1.00	
0.588235	0.805	0.557377	0.23	0.156028	0.38003	0.105892	0.433333	1.00	-1.00	
0.235294	0.47	0.532787	0.22	0.0	0.368107	0.029889	0.0	-1.00	1.00	
0.294118	0.685	0.885246	0.0	0.0	0.727273	0.0636208	0.266667	1.00	-1.00	
0.470588	0.54	0.57377	0.0	0.0	0.454545	0.374466	0.2	-1.00	1.00	
0.352941	0.95	0.754098	0.0	0.0	0.529061	0.0853971	0.75	1.00	-1.00	
0.0588235	0.565	0.52459	0.35	0.0	0.500745	0.198548	0.0	-1.00	1.00	
0.411765	0.645	0.557377	0.49	0.147754	0.57377	0.154142	0.366667	1.00	-1.00	
0.0588235	0.485	0.540984	0.15	0.165485	0.345753	0.174637	0.0166667	-1.00	1.00	
0.0588235	0.585	0.491803	0.23	0.125296	0.503726	0.16567	0.1	-1.00	1.00	
0.0	0.76	0.672131	0.39	0.321513	0.61848	0.0819812	0.1	-1.00	1.00	
0.176471	0.42	0.557377	0.3	0.125296	0.47541	0.219044	0.0666667	-1.00	1.00	
0.352941	0.825	0.557377	0.26	0.198582	0.500745	0.236123	0.466667	1.00	-1.00	
0.529412	0.615	0.57377	0.44	0.111111	0.493294	0.126388	0.316667	-1.00	1.00	
0.235294	0.59	0.57377	0.0	0.0	0.663189	0.35269	0.0833333	1.00	-1.00	
0.235294	0.73	0.696721	0.27	0.118203	0.4307	0.0473954	0.1	-1.00	1.00	
0.176471	0.79	0.622951	0.36	0.289598	0.470939	0.33006	0.116667	1.00	-1.00	
0.0588235	0.9	0.0	0.0	0.0	0.645306	0.087105	0.333333	1.00	-1.00	
0.352941	0.49	0.47541	0.33	0.224586	0.506706	0.150299	0.366667	-1.00	1.00	
0.0588235	0.0	0.557377	0.35	0.0	0.4769	0.132792	0.0166667	-1.00	1.00	
0.0	0.66	0.639344	0.0	0.0	0.482861	0.1345	0.0	-1.00	1.00	
0.647059	0.6	0.655738	0.37	0.177305	0.630402	0.301879	0.45	1.00	-1.00	
0.294118	0.575	0.803279	0.0	0.0	0.788376	0.0559351	0.116667	-1.00	1.00	
0.235294	0.475	0.57377	0.32	0.0	0.47839	0.22801	0.05	-1.00	1.00	
0.0588235	0.62	0.491803	0.32	0.0	0.533532	0.186166	0.0	-1.00	1.00	
0.235294	0.915	0.0	0.0	0.0	0.423249	0.0572161	0.25	1.00	-1.00	
0.176471	0.565	0.360656	0.13	0.0	0.33383	0.0264731	0.0166667	-1.00	1.00	
0.0588235	0.815	0.590164	0.0	0.0	0.581222	0.488471	0.2	1.00	-1.00	
0.764706	0.645	0.0	0.3	0.0	0.594635	0.20965	0.383333	1.00	-1.00	
0.0588235	0.395	0.655738	0.25	0.0437352	0.378539	0.215628	0.0166667	-1.00	1.00	
0.176471	0.51	0.606557	0.0	0.0	0.439642	0.0183604	0.183333	-1.00	1.00	
0.117647	0.56	0.704918	0.42	0.189125	0.57228	0.0717336	0.116667	-1.00	1.00	
0.117647	0.47	0.622951	0.18	0.0780142	0.470939	0.243809	0.0333333	-1.00	1.00	
0.0	0.51	0.42623	0.0	0.0	0.374069	0.0	0.0	-1.00	1.00	
0.0588235	0.515	0.245902	0.38	0.0981087	0.645306	0.0448335	0.2	1.00	-1.00	
0.0	0.525	0.557377	0.22	0.0	0.298063	0.0674637	0.0166667	-1.00	1.00	
0.235294	0.615	0.655738	0.15	0.208038	0.4769	0.15585	0.216667	-1.00	1.00	
0.352941	0.495	0.491803	0.19	0.0638298	0.400894	0.178907	0.183333	-1.00	1.00	
0.294118	0.365	0.491803	0.0	0.0	0.399404	0.0811272	0.1	-1.00	1.00	
0.235294	0.705	0.606557	0.0	0.0	0.411326	0.0708796	0.316667	1.00	-1.00	
0.294118	0.62	0.606557	0.0	0.0	0.506706	0.0606319	0.283333	1.00	-1.00	
0.117647	0.34	0.57377	0.32	0.0780142	0.372578	0.0465414	0.0666667	-1.00	1.00	
0.0588235	0.745	0.557377	0.29	0.150118	0.436662	0.115713	0.35	1.00	-1.00	
0.588235	0.695	0.655738	0.0	0.0	0.403875	0.581981	0.6	1.00	-1.00	
0.411765	0.935	0.557377	0.39	0.359338	0.561848	0.0751494	0.333333	1.00	-1.00	
0.117647	0.495	0.0	0.0	0.0	0.330849	0.0128096	0.0333333	-1.00	1.00	
0.0588235	0.0	0.393443	0.2	0.0	0.368107	0.0264731	0.0166667	-1.00	1.00	
0.117647	0.575	0.52459	0.22	0.0	0.459016	0.146456	0.0	-1.00	1.00	
0.176471	0.51	0.360656	0.2	0.111111	0.459016	0.137489	0.0833333	-1.00	1.00	
0.294118	0.44	0.639344	0.3	0.0	0.411326	0.0768574	0.266667	-1.00	1.00	
0.235294	0.495	0.590164	0.17	0.0	0.38152	0.0922289	0.116667	-1.00	1.00	
0.294118	0.43	0.557377	0.28	0.0839243	0.450075	0.122118	0.05	-1.00	1.00	
0.470588	0.97	0.655738	0.0	0.0	0.388972	0.201964	0.766667	1.00	-1.00	
0.294118	0.735	0.614754	0.0	0.0	0.445604	0.152007	0.116667	-1.00	1.00	
0.0588235	0.435	0.639344	0.27	0.0378251	0.515648	0.00982067	0.0166667	-1.00	1.00	
0.117647	0.56	0.540984	0.22	0.0	0.372578	0.0977797	0.05	-1.00	1.00	
0.0588235	0.62	0.606557	0.36	0.0	0.414307	0.00939368	0.15	-1.00	1.00	
0.411765	0.405	0.639344	0.4	0.0567376	0.695976	0.0781383	0.35	-1.00	1.00	
0.235294	0.78	0.614754	0.0	0.0	0.719821	0.0683177	0.183333	1.00	-1.00	
0.0	0.505	0.532787	0.28	0.0	0.366617	0.0678907	0.0166667	-1.00	1.00	
0.0588235	0.54	0.721311	0.19	0.0	0.403875	0.137489	0.05	-1.00	1.00	
0.0	0.52	0.52459	0.37	0.0756501	0.500745	0.184458	0.0166667	-1.00	1.00	
0.470588	0.905	0.557377	0.36	0.585106	0.448584	0.229291	0.65	1.00	-1.00	
0.588235	0.84	0.606557	0.0	0.0	0.566319	0.195986	0.216667	1.00	-1.00	
0.470588	0.715	0.540984	0.0	0.0	0.520119	0.0217763	0.333333	1.00	-1.00	
0.352941	0.67	0.57377	0.23	0.153664	0.527571	0.198121	0.133333	-1.00	1.00	
0.294118	0.56	0.540984	0.0	0.0	0.563338	0.0781383	0.333333	1.00	-1.00	
0.176471	0.695	0.442623	0.0	0.0	0.38152	0.138343	0.0166667	-1.00	1.00	
0.117647	0.555	0.491803	0.0	0.0	0.390462	0.113151	0.0333333	-1.00	1.00	
0.0588235	0.545	0.311475	0.18	0.141844	0.344262	0.140478	0.0833333	-1.00	1.00	
0.0588235	0.73	0.459016	0.0	0.0	0.442623	0.207515	0.133333	1.00	-1.00	
0.117647	0.41	0.42623	0.22	0.135934	0.424739	0.692143	0.0666667	-1.00	1.00	
0.411765	0.515	0.540984	0.32	0.0	0.582712	0.113578	0.166667	-1.00	1.00	
0.352941	0.57	0.721311	0.0	0.0	0.414307	0.0721605	0.75	-1.00	1.00	
0.294118	0.695	0.655738	0.35	0.189125	0.470939	0.120837	0.0666667	-1.00	1.00	
0.0588235	0.525	0.47541	0.0	0.0	0.362146	0.0465414	0.0	-1.00	1.00	
0.117647	0.525	0.655738	0.45	0.225768	0.502235	0.270282	0.133333	-1.00	1.00	
0.764706	0.53	0.57377	0.0	0.0	0.509687	0.0738685	0.516667	-1.00	1.00	
0.0588235	0.485	0.557377	0.21	0.0	0.405365	0.434244	0.0166667	-1.00	1.00	
0.117647	0.495	0.491803	0.17	0.189125	0.545455	0.16012	0.0	-1.00	1.00	
0.0	0.825	0.737705	0.33	0.803783	0.779434	0.149018	0.0333333	1.00	-1.00	
0.176471	0.45	0.639344	0.0	0.0	0.636364	0.20538	0.0	-1.00	1.00	
0.0	0.59	0.688525	0.47	0.271868	0.682563	0.201964	0.166667	-1.00	1.00	
0.0588235	0.82	0.672131	0.43	0.0791962	0.488823	0.112297	0.483333	1.00	-1.00	
0.352941	0.555	0.52459	0.39	0.0	0.509687	0.0777114	0.05	-1.00	1.00	
0.117647	0.73	0.622951	0.35	0.229314	0.5693	0.107173	0.133333	-1.00	1.00	
0.352941	0.625	0.622951	0.0	0.0	0.503726	0.0183604	0.55	-1.00	1.00	
0.117647	0.34	0.508197	0.13	0.0177305	0.299553	0.0764304	0.0333333	-1.00	1.00	
0.117647	0.505	0.47541	0.35	0.106383	0.324888	0.0328779	0.0166667	-1.00	1.00	
0.0	0.885	0.491803	0.29	0.565012	0.515648	0.424424	0.0	1.00	-1.00	
0.470588	0.93	0.737705	0.35	0.265957	0.514158	0.14731	0.266667	1.00	-1.00	
0.0	0.625	0.786885	0.0	0.0	0.33532	0.0785653	0.0	-1.00	1.00	
0.294118	0.585	0.754098	0.0	0.0	0.508197	0.110589	0.283333	-1.00	1.00	
0.117647	0.695	0.614754	0.0	0.0	0.38152	0.0380017	0.133333	-1.00	1.00	
0.235294	0.45	0.0	0.0	0.0	0.417288	0.227156	0.166667	-1.00	1.00	
0.117647	0.5	0.442623	0.28	0.124113	0.563338	0.179334	0.05	-1.00	1.00	
